padding token id: 0
bos token id: 1
eos token id: 2
vocab size: 128000
Dataset size: 1196218
Dataset is shuffled...
Dataset is splitted...
Total labels:  1423635
Total labels:  165248
{'loss': 8.8108, 'grad_norm': 12.628582000732422, 'learning_rate': 5.974141774409273e-06, 'epoch': 0.04}
{'loss': 7.2412, 'grad_norm': 18.768829345703125, 'learning_rate': 6.06330806954971e-06, 'epoch': 0.05}
{'loss': 7.8236, 'grad_norm': 9.111170768737793, 'learning_rate': 6.152474364690148e-06, 'epoch': 0.05}
{'loss': 7.7568, 'grad_norm': 10.442388534545898, 'learning_rate': 6.241640659830584e-06, 'epoch': 0.05}
{'loss': 9.9849, 'grad_norm': 3.985523223876953, 'learning_rate': 6.330806954971022e-06, 'epoch': 0.05}
{'loss': 7.8773, 'grad_norm': 5.470199108123779, 'learning_rate': 6.419973250111459e-06, 'epoch': 0.05}
{'loss': 9.0536, 'grad_norm': 2.1806297302246094, 'learning_rate': 6.509139545251896e-06, 'epoch': 0.05}
{'loss': 8.1191, 'grad_norm': 8.862640380859375, 'learning_rate': 6.598305840392331e-06, 'epoch': 0.05}
{'loss': 9.9977, 'grad_norm': 27.805015563964844, 'learning_rate': 6.687472135532769e-06, 'epoch': 0.05}
{'loss': 7.6922, 'grad_norm': 4.82062292098999, 'learning_rate': 6.776638430673206e-06, 'epoch': 0.05}
{'loss': 7.8648, 'grad_norm': 3.558245897293091, 'learning_rate': 6.8658047258136426e-06, 'epoch': 0.05}
{'loss': 7.5308, 'grad_norm': 5.298325061798096, 'learning_rate': 6.95497102095408e-06, 'epoch': 0.05}
{'loss': 8.3993, 'grad_norm': 28.58641242980957, 'learning_rate': 7.044137316094517e-06, 'epoch': 0.05}
{'loss': 6.9861, 'grad_norm': 8.823457717895508, 'learning_rate': 7.133303611234954e-06, 'epoch': 0.05}
{'loss': 7.6635, 'grad_norm': 6.340952396392822, 'learning_rate': 7.222469906375391e-06, 'epoch': 0.05}
{'loss': 7.4626, 'grad_norm': 10.54790210723877, 'learning_rate': 7.311636201515827e-06, 'epoch': 0.05}
